Colony,Nest,Day,ScaledX,ScaledY,Bin,Density,Corner
11,Tube,3,3.110416667,1.80625,2,Low,N
11,Tube,3,3.15,2.004166667,2,Low,N
11,Tube,3,3.03125,1.95625,2,Low,N
11,Tube,3,3.027083333,2.047916667,2,Low,N
11,Tube,3,2.95,1.922916667,2,Low,N
11,Tube,3,2.875,1.816666667,2,Low,N
11,Tube,3,2.80625,1.966666667,2,Low,N
11,Tube,3,2.741666667,1.997916667,2,Low,N
11,Tube,3,2.85,2.027083333,2,Low,N
11,Tube,3,2.720833333,1.964583333,2,Low,N
11,Tube,3,2.685416667,1.958333333,2,Low,N
11,Tube,3,2.670833333,1.802083333,2,Low,N
11,Tube,3,2.575,1.739583333,2,Low,N
11,Tube,3,2.464583333,1.791666667,2,Low,N
11,Tube,3,2.533333333,1.854166667,2,Low,N
11,Tube,3,2.51875,1.95625,2,Low,N
11,Tube,3,2.572916667,2.052083333,2,Low,N
11,Tube,3,2.616666667,1.9125,2,Low,N
11,Tube,3,2.525,2.1125,2,Low,N
11,Tube,3,2.402083333,2.0625,2,Low,N
11,Tube,3,2.372916667,1.977083333,2,Low,N
11,Tube,3,2.235416667,1.81875,2,Low,N
11,Tube,3,2.291666667,1.845833333,2,Low,N
11,Tube,3,2.2875,1.945833333,2,Low,N
11,Tube,3,2.189583333,1.833333333,2,Low,N
11,Tube,3,2.04375,1.783333333,2,Low,N
11,Tube,3,2.01875,1.808333333,2,Low,N
11,Tube,3,2,1.883333333,2,Low,N
11,Tube,3,1.91875,1.777083333,2,Low,N
11,Tube,3,1.975,1.791666667,2,Low,N
11,Tube,3,1.910416667,1.883333333,2,Low,N
11,Tube,3,2.133333333,2.072916667,2,Low,N
11,Tube,3,2.15,1.975,2,Low,N
11,Tube,3,2.1,1.95625,2,Low,N
11,Tube,3,1.925,2.029166667,2,Low,N
11,Tube,3,1.752083333,1.96875,2,Low,N
11,Tube,3,1.8,2.027083333,2,Low,N
11,Tube,3,1.677083333,2.135416667,2,Low,N
11,Tube,3,1.633333333,2.083333333,2,Low,N
11,Tube,3,1.68125,1.816666667,2,Low,N
11,Tube,3,1.560416667,1.814583333,2,Low,N
11,Tube,3,1.635416667,1.760416667,2,Low,N
11,Tube,3,1.514583333,1.983333333,2,Low,N
11,Tube,3,1.5,1.922916667,2,Low,N
11,Tube,3,1.297916667,1.964583333,3,Low,Y
11,Tube,3,1.210416667,1.933333333,3,Low,Y
11,Tube,3,1.34375,2.020833333,3,Low,Y
11,Tube,3,1.352083333,2.158333333,3,Low,Y
11,Tube,3,1.154166667,2.095833333,3,Low,Y
11,Tube,3,1.235416667,2.11875,3,Low,Y
11,Tube,3,1.289583333,2.233333333,3,Low,Y
11,Tube,3,1.033333333,2.152083333,3,Low,Y
11,Tube,3,1.047916667,2.241666667,3,Low,Y
11,Tube,3,1.21875,2.297916667,3,Low,Y
11,Tube,3,1.135416667,2.3625,3,Low,Y
11,Tube,3,1.220833333,2.40625,3,Low,Y
11,Tube,3,1.29375,2.3875,3,Low,Y
11,Tube,3,1.239583333,2.495833333,3,Low,Y
11,Tube,3,1.05,2.475,3,Low,Y
11,Tube,3,1.091666667,2.410416667,3,Low,Y
11,Tube,3,1.158333333,2.552083333,3,Low,Y
11,Tube,3,1.08125,2.5625,3,Low,Y
11,Tube,3,1.197916667,2.7375,3,Low,Y
11,Tube,3,1.166666667,2.639583333,3,Low,Y
11,Tube,3,1.052083333,2.73125,3,Low,Y
11,Tube,3,1.135416667,2.839583333,3,Low,Y
11,Tube,3,1.095833333,2.795833333,3,Low,Y
11,Tube,3,1.289583333,2.8125,3,Low,Y
11,Tube,3,1.227083333,2.870833333,3,Low,Y
11,Tube,3,1.16875,2.9375,3,Low,Y
11,Tube,3,1.19375,2.989583333,3,Low,Y
11,Tube,3,1.102083333,2.958333333,3,Low,Y
11,Tube,3,1.147916667,3.0875,3,Low,Y
11,Tube,3,1.229166667,3.08125,3,Low,Y
11,Tube,3,1.354166667,3.085416667,3,Low,Y
11,Tube,3,1.295833333,3.135416667,3,Low,Y
11,Tube,3,1.258333333,3.25,3,Low,Y
11,Tube,3,1.05625,3.289583333,3,Low,Y
11,Tube,3,1.264583333,3.358333333,3,Low,Y
11,Tube,3,1.283333333,3.470833333,3,Low,Y
11,Tube,3,1.116666667,3.53125,3,Low,Y
11,Tube,3,1.15625,3.677083333,4,Low,Y
11,Tube,3,1.197916667,3.683333333,4,Low,Y
11,Tube,3,1.072916667,3.691666667,4,Low,Y
11,Tube,3,1.277083333,3.660416667,4,Low,Y
11,Tube,3,1.339583333,3.677083333,4,Low,Y
11,Tube,3,1.13125,3.85625,4,Low,Y
11,Tube,3,1.364583333,3.758333333,4,Low,Y
11,Tube,3,1.439583333,3.820833333,4,Low,Y
11,Tube,3,1.558333333,3.802083333,4,Low,Y
11,Tube,3,1.652083333,3.772916667,4,Low,Y
11,Tube,3,1.635416667,3.960416667,4,Low,Y
11,Tube,3,1.558333333,3.904166667,4,Low,Y
11,Tube,3,1.760416667,3.7375,4,Low,Y
11,Tube,3,1.783333333,3.9,4,Low,Y
11,Tube,3,1.733333333,3.864583333,4,Low,Y
11,Tube,3,1.679166667,3.827083333,4,Low,Y
11,Tube,3,1.90625,3.745833333,4,Low,Y
11,Tube,3,1.883333333,3.733333333,4,Low,Y
11,Tube,3,1.91875,3.864583333,4,Low,Y
11,Tube,3,1.979166667,3.947916667,4,Low,Y
11,Tube,3,1.947916667,3.945833333,4,Low,Y
11,Tube,3,1.89375,3.94375,4,Low,Y
11,Tube,3,2.05625,3.804166667,4,Low,Y
11,Tube,3,2.1,3.89375,4,Low,Y
11,Tube,3,2.052083333,3.710416667,4,Low,Y
11,Tube,3,2.108333333,3.804166667,4,Low,Y
11,Tube,3,2.204166667,3.702083333,4,Low,Y
11,Tube,3,2.189583333,3.791666667,4,Low,Y
11,Tube,3,2.158333333,3.977083333,4,Low,Y
11,Tube,3,2.260416667,3.9625,4,Low,Y
11,Tube,3,2.264583333,3.929166667,4,Low,Y
11,Tube,3,2.325,3.795833333,4,Low,Y
11,Tube,3,2.320833333,3.689583333,4,Low,Y
11,Tube,3,2.347916667,3.720833333,4,Low,Y
11,Tube,3,2.385416667,3.777083333,4,Low,Y
11,Tube,3,2.404166667,3.804166667,4,Low,Y
11,Tube,3,2.391666667,3.85625,4,Low,Y
11,Tube,3,2.458333333,3.916666667,4,Low,Y
11,Tube,3,2.335416667,3.989583333,4,Low,Y
11,Tube,3,2.308333333,3.945833333,4,Low,Y
11,Tube,3,2.429166667,4.016666667,4,Low,Y
11,Tube,3,2.454166667,4.033333333,4,Low,Y
11,Tube,3,2.472916667,4,4,Low,Y
11,Tube,3,2.46875,4.0625,4,Low,Y
11,Tube,3,2.427083333,4.066666667,4,Low,Y
11,Tube,3,2.5,3.704166667,4,Low,Y
11,Tube,3,2.479166667,3.772916667,4,Low,Y
11,Tube,3,2.577083333,3.702083333,4,Low,Y
11,Tube,3,2.5875,3.847916667,4,Low,Y
11,Tube,3,2.485416667,3.870833333,4,Low,Y
11,Tube,3,2.564583333,3.785416667,4,Low,Y
11,Tube,3,2.64375,3.822916667,4,Low,Y
11,Tube,3,2.714583333,3.75,4,Low,Y
11,Tube,3,2.758333333,3.816666667,4,Low,Y
11,Tube,3,2.722916667,3.810416667,4,Low,Y
11,Tube,3,2.766666667,3.845833333,4,Low,Y
11,Tube,3,2.791666667,3.958333333,5,Low,N
11,Tube,3,2.666666667,3.954166667,4,Low,Y
11,Tube,3,2.710416667,3.98125,4,Low,Y
11,Tube,3,2.858333333,3.7,5,Low,N
11,Tube,3,2.81875,3.833333333,5,Low,N
11,Tube,3,2.914583333,3.945833333,5,Low,N
11,Tube,3,3.029166667,3.985416667,5,Low,N
11,Tube,3,2.952083333,3.804166667,5,Low,N
11,Tube,3,2.989583333,3.789583333,5,Low,N
11,Tube,3,2.954166667,3.758333333,5,Low,N
11,Tube,3,2.983333333,3.75,5,Low,N
11,Tube,3,3.014583333,3.752083333,5,Low,N
11,Tube,3,3.0375,3.758333333,5,Low,N
11,Tube,3,3.022916667,3.808333333,5,Low,N
11,Tube,3,3.045833333,3.822916667,5,Low,N
11,Tube,3,3.016666667,3.827083333,5,Low,N
11,Tube,3,3.122916667,3.9125,5,Low,N
11,Tube,3,2.954166667,3.71875,5,Low,N
11,Tube,3,3.177083333,3.789583333,5,Low,N
11,Tube,3,3.272916667,3.789583333,5,Low,N
11,Tube,3,3.291666667,3.952083333,5,Low,N
11,Tube,3,3.370833333,3.758333333,5,Low,N
11,Tube,3,3.502083333,3.75625,5,Low,N
11,Tube,3,3.425,3.841666667,5,Low,N
11,Tube,3,3.477083333,3.883333333,5,Low,N
11,Tube,3,3.395833333,3.902083333,5,Low,N
11,Tube,3,3.40625,3.93125,5,Low,N
11,Tube,3,3.541666667,3.6375,5,Low,N
11,Tube,3,3.6375,3.714583333,5,Low,N
11,Tube,3,3.597916667,3.797916667,5,Low,N
11,Tube,3,3.66875,3.833333333,5,Low,N
11,Tube,3,3.691666667,3.975,5,Low,N
11,Tube,3,3.810416667,3.75,5,Low,N
11,Tube,3,3.927083333,3.733333333,5,Low,N
11,Tube,3,3.954166667,3.864583333,5,Low,N
11,Tube,3,3.810416667,3.991666667,5,Low,N
11,Tube,3,3.904166667,3.95625,5,Low,N
11,Tube,3,4.00625,3.870833333,5,Low,N
11,Tube,3,4.027083333,3.722916667,5,Low,N
11,Tube,3,4.085416667,3.875,5,Low,N
11,Tube,3,4.154166667,3.79375,5,Low,N
11,Tube,3,3.745833333,3.829166667,5,Low,N
11,Tube,3,4.177083333,3.941666667,5,Low,N
11,Tube,3,4.241666667,3.80625,5,Low,N
11,Tube,3,4.295833333,3.754166667,5,Low,N
11,Tube,3,4.210416667,3.754166667,5,Low,N
11,Tube,3,4.277083333,3.895833333,5,Low,N
11,Tube,3,4.389583333,3.754166667,5,Low,N
11,Tube,3,4.427083333,3.96875,5,Low,N
11,Tube,3,4.40625,3.816666667,5,Low,N
11,Tube,3,5.010416667,3.979166667,6,Low,Y
11,Tube,3,4.745833333,3.945833333,6,Low,Y
11,Tube,3,4.645833333,3.991666667,5,Low,N
11,Tube,3,4.560416667,3.916666667,5,Low,N
11,Tube,3,4.7,3.85625,5,Low,N
11,Tube,3,4.620833333,3.8,5,Low,N
11,Tube,3,4.64375,3.83125,5,Low,N
11,Tube,3,4.779166667,3.7875,6,Low,Y
11,Tube,3,4.766666667,3.875,6,Low,Y
11,Tube,3,4.839583333,3.883333333,6,Low,Y
11,Tube,3,4.770833333,3.679166667,6,Low,Y
11,Tube,3,4.889583333,3.785416667,6,Low,Y
11,Tube,3,5.016666667,3.833333333,6,Low,Y
11,Tube,3,5.09375,3.754166667,6,Low,Y
11,Tube,3,5.01875,3.752083333,6,Low,Y
11,Tube,3,5.160416667,3.935416667,6,Low,Y
